,agent,step,test_id,avg_reward,std_reward
0,ma2c,108,-1,21.482407407407393,47.826745246473294
1,ma2c,216,-1,17.040740740740702,50.9174350497339
2,ma2c,324,-1,38.16574074074079,94.39959114204171
3,ma2c,432,-1,17.857407407407344,38.91708470797033
4,ma2c,540,-1,38.583333333333314,81.30613787135347
5,ma2c,648,-1,16.19537037037044,33.40132893857411
6,ma2c,756,-1,16.401851851851763,44.48545950849267
7,ma2c,864,-1,31.163888888888913,82.59727313489817
8,ma2c,972,-1,29.337962962963047,68.76803833068442
9,ma2c,1080,-1,17.868518518518513,33.36774514892679
10,ma2c,1188,-1,17.673148148148154,44.20267003516078
11,ma2c,1296,-1,21.483333333333324,41.67017874087283
12,ma2c,1404,-1,16.88796296296296,43.19124293442886
13,ma2c,1512,-1,12.414814814814893,33.41867634526271
14,ma2c,1620,-1,12.98425925925932,31.58677102967208
15,ma2c,1728,-1,26.705555555555527,59.99568014284407
16,ma2c,1836,-1,29.803703703703714,69.82418784708338
17,ma2c,1944,-1,18.475925925926006,35.88095510096514
18,ma2c,2052,-1,41.47314814814817,87.64502965612198
19,ma2c,2160,-1,17.937962962962974,50.7628176070442
20,ma2c,2268,-1,23.437962962962956,56.25442322953382
21,ma2c,2376,-1,17.331481481481507,45.42037527803795
22,ma2c,2484,-1,40.56111111111108,87.07370317122516
23,ma2c,2592,-1,12.98703703703709,27.50787460519123
24,ma2c,2700,-1,11.932407407407498,31.749642251422145
25,ma2c,2808,-1,28.86851851851858,49.44780197367158
26,ma2c,2916,-1,11.210185185185209,31.324836140432915
27,ma2c,3024,-1,35.71851851851856,84.11123603559065
28,ma2c,3132,-1,14.341666666666697,30.830177391039623
29,ma2c,3240,-1,36.39629629629634,79.08353053005018
30,ma2c,3348,-1,7.864814814814777,25.38504340491485
31,ma2c,3456,-1,48.941666666666706,90.18958850665636
32,ma2c,3564,-1,25.13888888888887,63.824368145213924
33,ma2c,3672,-1,31.452777777777758,70.32146616357663
34,ma2c,3780,-1,13.421296296296262,33.4279131834624
35,ma2c,3888,-1,15.267592592592674,32.28167645809521
36,ma2c,3996,-1,21.058333333333326,42.75867277199126
37,ma2c,4104,-1,33.105555555555554,67.5250019997166
38,ma2c,4212,-1,15.630555555555576,37.68067944444561
39,ma2c,4320,-1,13.70000000000002,27.94405787229863
40,ma2c,4428,-1,7.886111111111152,22.230040812067198
41,ma2c,4536,-1,22.310185185185187,41.43917662339554
42,ma2c,4644,-1,52.884259259259274,100.27923528830303
43,ma2c,4752,-1,28.81111111111115,64.91054575812231
44,ma2c,4860,-1,18.796296296296298,36.93705337744866
45,ma2c,4968,-1,30.107407407407344,53.937876995298325
46,ma2c,5076,-1,10.614814814814913,23.536393469652673
47,ma2c,5184,-1,9.084259259259262,26.08806368904936
48,ma2c,5292,-1,16.113888888888933,35.64748305055365
49,ma2c,5400,-1,12.200925925925866,28.29244924582964
50,ma2c,5508,-1,35.7388888888889,78.11099632518815
51,ma2c,5616,-1,10.099999999999943,24.93518635419651
52,ma2c,5724,-1,16.887962962963062,42.2041548718025
53,ma2c,5832,-1,9.211111111111189,21.944400843838675
54,ma2c,5940,-1,12.421296296296314,32.788884326195884
55,ma2c,6048,-1,14.672222222222226,29.37377840906231
56,ma2c,6156,-1,19.780555555555534,45.202424259663495
57,ma2c,6264,-1,9.909259259259283,25.793397579817913
58,ma2c,6372,-1,17.38055555555561,30.829094178057048
59,ma2c,6480,-1,23.359259259259254,56.9738683391374
60,ma2c,6588,-1,10.959259259259314,25.899431700604303
61,ma2c,6696,-1,8.568518518518566,23.087593462275127
62,ma2c,6804,-1,11.774074074074043,31.857740411753255
63,ma2c,6912,-1,9.372222222222195,22.20459509222987
64,ma2c,7020,-1,20.56018518518522,42.76776854000738
65,ma2c,7128,-1,10.364814814814862,25.5654219413603
66,ma2c,7236,-1,22.673148148148137,46.1010175160493
67,ma2c,7344,-1,18.979629629629674,37.17145649070806
68,ma2c,7452,-1,9.347222222222273,25.041193685063075
69,ma2c,7560,-1,11.66203703703702,30.81558864045726
70,ma2c,7668,-1,11.709259259259296,28.654152750023346
71,ma2c,7776,-1,14.36851851851841,34.16002550130267
72,ma2c,7884,-1,7.725000000000027,19.000414834652744
73,ma2c,7992,-1,16.943518518518598,37.07267705354334
74,ma2c,8100,-1,16.417592592592715,34.617622435593255
75,ma2c,8208,-1,11.956481481481559,23.241140379476885
76,ma2c,8316,-1,13.425000000000013,31.34989847287002
77,ma2c,8424,-1,15.328703703703772,32.077510441076875
78,ma2c,8532,-1,18.598148148148134,38.601288074558944
79,ma2c,8640,-1,11.066666666666674,31.178429152932647
80,ma2c,8748,-1,11.237037037037057,25.08451858621844
81,ma2c,8856,-1,7.398148148148165,18.3567021844656
82,ma2c,8964,-1,15.931481481481486,36.861820678462706
83,ma2c,9072,-1,9.155555555555633,20.97129578527714
84,ma2c,9180,-1,10.58055555555563,24.075800276431426
85,ma2c,9288,-1,9.707407407407421,23.096387017853424
86,ma2c,9396,-1,13.789814814814758,37.98911866578043
87,ma2c,9504,-1,15.224074074074148,32.006891244006084
88,ma2c,9612,-1,17.42592592592586,42.60558859701632
89,ma2c,9720,-1,10.198148148148196,21.29072994887287
90,ma2c,9828,-1,8.576851851851913,21.14192169723759
91,ma2c,9936,-1,13.2574074074074,30.86326836255694
92,ma2c,10044,-1,22.70925925925933,51.07027572291217
93,ma2c,10152,-1,11.237037037036956,22.379564887508003
94,ma2c,10260,-1,10.397222222222203,25.55763804920793
95,ma2c,10368,-1,8.61296296296302,22.00648933161165
96,ma2c,10476,-1,8.026851851851866,20.383747186138734
97,ma2c,10584,-1,27.96851851851849,60.55424511550706
98,ma2c,10692,-1,8.551851851851872,21.55619478497258
99,ma2c,10800,-1,14.751851851851942,29.79160172947547
100,ma2c,10908,-1,7.248148148148141,18.218974040520692
101,ma2c,11016,-1,12.02870370370364,23.38948026802881
102,ma2c,11124,-1,7.996296296296367,17.013463763900116
103,ma2c,11232,-1,9.2046296296297,21.136230892576606
104,ma2c,11340,-1,12.976851851851885,26.570596413947296
105,ma2c,11448,-1,11.463888888888944,27.01034252642971
106,ma2c,11556,-1,7.332407407407421,16.402262878570284
107,ma2c,11664,-1,9.345370370370397,23.786999967533077
108,ma2c,11772,-1,6.707407407407421,15.761754600718794
109,ma2c,11880,-1,5.071296296296286,17.27972506493133
110,ma2c,11988,-1,10.359259259259337,23.689320288847536
111,ma2c,12096,-1,13.816666666666656,27.773156837866576
112,ma2c,12204,-1,7.25370370370365,15.617318413566498
113,ma2c,12312,-1,10.581481481481525,22.59670636499845
114,ma2c,12420,-1,9.615740740740792,25.434586258774033
115,ma2c,12528,-1,6.4259259259259425,14.933397633606422
116,ma2c,12636,-1,11.701851851851846,26.484114670949193
117,ma2c,12744,-1,7.074999999999987,17.742322935516395
118,ma2c,12852,-1,7.71296296296298,16.4387532903006
119,ma2c,12960,-1,5.9814814814815485,14.151267108219756
120,ma2c,13068,-1,5.082407407407353,15.326730635793366
121,ma2c,13176,-1,6.872222222222212,16.928683927174436
122,ma2c,13284,-1,5.546296296296297,16.817569218847673
123,ma2c,13392,-1,5.522222222222151,15.20005685499428
124,ma2c,13500,-1,9.2990740740741,21.356001391621966
125,ma2c,13608,-1,8.14999999999999,20.783899128002023
126,ma2c,13716,-1,6.314814814814832,14.526080088705616
127,ma2c,13824,-1,9.511111111111134,22.83614067629766
128,ma2c,13932,-1,5.049074074074101,13.606319986943829
129,ma2c,14040,-1,3.251851851851808,8.85197698656314
130,ma2c,14148,-1,8.909259259259299,21.608981059140003
131,ma2c,14256,-1,5.788888888888879,16.81602153444493
132,ma2c,14364,-1,7.831481481481542,20.384882961664868
133,ma2c,14472,-1,4.547222222222209,12.453784627301475
134,ma2c,14580,-1,5.998148148148158,14.491715267195271
135,ma2c,14688,-1,6.927777777777818,17.966119520288455
136,ma2c,14796,-1,6.669444444444438,15.695348794003719
137,ma2c,14904,-1,5.914814814814893,16.869959136346772
138,ma2c,15012,-1,8.987962962962953,20.41995537046953
139,ma2c,15120,-1,11.923148148148172,27.753059912982824
140,ma2c,15228,-1,7.857407407407444,20.78727443566508
141,ma2c,15336,-1,8.748148148148125,19.597923555360634
142,ma2c,15444,-1,5.373148148148158,14.140889008157048
143,ma2c,15552,-1,6.6324074074074515,15.899999002467503
144,ma2c,15660,-1,6.115740740740791,17.571795382653036
145,ma2c,15768,-1,5.67407407407405,15.716718925153929
146,ma2c,15876,-1,7.25,19.501507539067237
147,ma2c,15984,-1,7.752777777777737,18.84170147587986
148,ma2c,16092,-1,8.452777777777825,19.855703809370077
149,ma2c,16200,-1,6.5833333333334005,16.34433586337553
150,ma2c,16308,-1,5.791666666666718,14.145219877059924
151,ma2c,16416,-1,7.075925925926,16.557743351175873
152,ma2c,16524,-1,6.693518518518532,15.43058094696275
153,ma2c,16632,-1,8.012962962962959,18.929259599853104
154,ma2c,16740,-1,5.268518518518518,14.729654192139954
155,ma2c,16848,-1,4.51296296296296,14.896675571170391
156,ma2c,16956,-1,5.1916666666666735,13.37281048191393
157,ma2c,17064,-1,5.485185185185249,15.204201507617261
158,ma2c,17172,-1,9.657407407407458,23.701110318200385
159,ma2c,17280,-1,8.441666666666656,18.698510165449257
160,ma2c,17388,-1,7.79629629629633,17.985600855529785
161,ma2c,17496,-1,11.466666666666713,24.209525214491734
162,ma2c,17604,-1,6.064814814814849,15.949238428438884
163,ma2c,17712,-1,12.966666666666747,25.325203373831645
164,ma2c,17820,-1,11.761111111111202,25.454923242546915
165,ma2c,17928,-1,7.48796296296302,19.268976781885844
166,ma2c,18036,-1,6.764814814814819,19.103157169813645
167,ma2c,18144,-1,7.910185185185246,21.536979136733063
