"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
11/09/2018,1.1607,1.1594,1.1645,1.1565,0.11%
12/09/2018,1.1626,1.1604,1.1651,1.1570,0.16%
13/09/2018,1.1690,1.1627,1.1703,1.1608,0.55%
14/09/2018,1.1630,1.1690,1.1724,1.1619,-0.51%
17/09/2018,1.1683,1.1623,1.1699,1.1617,0.46%
18/09/2018,1.1667,1.1684,1.1726,1.1651,-0.14%
19/09/2018,1.1673,1.1667,1.1716,1.1648,0.05%
20/09/2018,1.1777,1.1671,1.1786,1.1665,0.89%
21/09/2018,1.1750,1.1776,1.1804,1.1731,-0.23%
24/09/2018,1.1748,1.1751,1.1817,1.1723,-0.02%
25/09/2018,1.1772,1.1748,1.1793,1.1730,0.20%
26/09/2018,1.1740,1.1767,1.1799,1.1726,-0.27%
27/09/2018,1.1641,1.1740,1.1759,1.1637,-0.84%
28/09/2018,1.1609,1.1641,1.1652,1.1567,-0.27%
01/10/2018,1.1578,1.1609,1.1630,1.1563,-0.27%
02/10/2018,1.1548,1.1578,1.1582,1.1506,-0.26%
03/10/2018,1.1478,1.1548,1.1595,1.1465,-0.61%
04/10/2018,1.1515,1.1478,1.1543,1.1464,0.32%
05/10/2018,1.1524,1.1513,1.1550,1.1483,0.08%
08/10/2018,1.1492,1.1520,1.1536,1.1459,-0.28%
09/10/2018,1.1490,1.1491,1.1504,1.1430,-0.02%
10/10/2018,1.1520,1.1491,1.1547,1.1479,0.26%
11/10/2018,1.1594,1.1519,1.1600,1.1517,0.64%
12/10/2018,1.1563,1.1592,1.1611,1.1534,-0.27%
15/10/2018,1.1579,1.1559,1.1608,1.1537,0.14%
16/10/2018,1.1575,1.1580,1.1623,1.1564,-0.03%
17/10/2018,1.1501,1.1575,1.1585,1.1495,-0.64%
18/10/2018,1.1453,1.1500,1.1528,1.1448,-0.42%
19/10/2018,1.1515,1.1451,1.1536,1.1433,0.54%
22/10/2018,1.1465,1.1507,1.1552,1.1455,-0.43%
23/10/2018,1.1471,1.1466,1.1495,1.1438,0.05%
24/10/2018,1.1392,1.1470,1.1477,1.1378,-0.69%
25/10/2018,1.1376,1.1392,1.1434,1.1355,-0.14%
26/10/2018,1.1403,1.1376,1.1422,1.1334,0.24%
29/10/2018,1.1373,1.1408,1.1418,1.1361,-0.26%
30/10/2018,1.1344,1.1372,1.1387,1.1338,-0.25%
31/10/2018,1.1312,1.1345,1.1363,1.1301,-0.28%
01/11/2018,1.1409,1.1311,1.1426,1.1306,0.86%
02/11/2018,1.1387,1.1408,1.1458,1.1372,-0.19%
05/11/2018,1.1407,1.1391,1.1425,1.1356,0.18%
06/11/2018,1.1427,1.1406,1.1440,1.1389,0.18%
07/11/2018,1.1426,1.1427,1.1502,1.1395,-0.01%
08/11/2018,1.1363,1.1425,1.1448,1.1352,-0.55%
09/11/2018,1.1336,1.1364,1.1371,1.1315,-0.24%
12/11/2018,1.1218,1.1331,1.1333,1.1214,-1.04%
13/11/2018,1.1291,1.1219,1.1296,1.1216,0.65%
14/11/2018,1.1310,1.1290,1.1349,1.1262,0.17%
15/11/2018,1.1328,1.1309,1.1364,1.1271,0.16%
16/11/2018,1.1420,1.1330,1.1423,1.1320,0.81%
19/11/2018,1.1453,1.1403,1.1467,1.1393,0.29%
20/11/2018,1.1371,1.1453,1.1473,1.1357,-0.72%
21/11/2018,1.1385,1.1371,1.1426,1.1363,0.12%
22/11/2018,1.1408,1.1382,1.1434,1.1378,0.20%
23/11/2018,1.1341,1.1403,1.1422,1.1325,-0.59%
26/11/2018,1.1328,1.1343,1.1385,1.1323,-0.11%
27/11/2018,1.1288,1.1326,1.1344,1.1276,-0.35%
28/11/2018,1.1366,1.1291,1.1387,1.1264,0.69%
29/11/2018,1.1393,1.1367,1.1403,1.1348,0.24%
30/11/2018,1.1317,1.1395,1.1402,1.1304,-0.67%
03/12/2018,1.1354,1.1315,1.1382,1.1315,0.33%
04/12/2018,1.1345,1.1354,1.1421,1.1318,-0.08%
05/12/2018,1.1344,1.1342,1.1361,1.1309,-0.01%
06/12/2018,1.1376,1.1345,1.1414,1.1321,0.28%
07/12/2018,1.1378,1.1377,1.1425,1.1359,0.02%
10/12/2018,1.1356,1.1401,1.1444,1.1349,-0.19%
11/12/2018,1.1316,1.1361,1.1402,1.1304,-0.35%
12/12/2018,1.1368,1.1317,1.1388,1.1312,0.46%
13/12/2018,1.1363,1.1369,1.1396,1.1330,-0.04%
14/12/2018,1.1309,1.1362,1.1374,1.1268,-0.48%
17/12/2018,1.1347,1.1308,1.1360,1.1299,0.34%
18/12/2018,1.1361,1.1346,1.1402,1.1336,0.12%
19/12/2018,1.1377,1.1361,1.1442,1.1360,0.14%
20/12/2018,1.1446,1.1377,1.1487,1.1371,0.61%
21/12/2018,1.1369,1.1447,1.1477,1.1353,-0.67%
24/12/2018,1.1400,1.1370,1.1439,1.1350,0.27%
25/12/2018,1.1362,1.1400,1.1429,1.1361,-0.33%
26/12/2018,1.1353,1.1363,1.1423,1.1342,-0.08%
27/12/2018,1.1430,1.1353,1.1457,1.1349,0.68%
28/12/2018,1.1438,1.1429,1.1478,1.1424,0.07%
31/12/2018,1.1470,1.1443,1.1470,1.1421,0.28%
01/01/2019,1.1464,1.1466,1.1481,1.1425,-0.05%
02/01/2019,1.1343,1.1464,1.1499,1.1325,-1.06%
03/01/2019,1.1394,1.1345,1.1413,1.1309,0.45%
04/01/2019,1.1395,1.1393,1.1422,1.1345,0.01%
07/01/2019,1.1476,1.1392,1.1485,1.1392,0.71%
08/01/2019,1.1442,1.1476,1.1487,1.1422,-0.30%
09/01/2019,1.1543,1.1444,1.1556,1.1435,0.88%
10/01/2019,1.1500,1.1542,1.1572,1.1485,-0.37%
11/01/2019,1.1469,1.1499,1.1542,1.1457,-0.27%
14/01/2019,1.1477,1.1471,1.1485,1.1440,0.07%
15/01/2019,1.1417,1.1473,1.1494,1.1381,-0.52%
16/01/2019,1.1400,1.1414,1.1429,1.1377,-0.15%
17/01/2019,1.1398,1.1396,1.1410,1.1369,-0.02%
18/01/2019,1.1363,1.1389,1.1413,1.1352,-0.31%
21/01/2019,1.1366,1.1371,1.1409,1.1355,0.03%
22/01/2019,1.1359,1.1365,1.1386,1.1334,-0.06%
23/01/2019,1.1381,1.1358,1.1397,1.1348,0.19%
24/01/2019,1.1306,1.1380,1.1398,1.1287,-0.66%
25/01/2019,1.1415,1.1306,1.1421,1.1298,0.96%
28/01/2019,1.1434,1.1404,1.1445,1.1388,0.17%
29/01/2019,1.1432,1.1428,1.1453,1.1410,-0.02%
30/01/2019,1.1479,1.1433,1.1503,1.1404,0.41%
31/01/2019,1.1446,1.1480,1.1517,1.1434,-0.29%
01/02/2019,1.1456,1.1447,1.1490,1.1433,0.09%
04/02/2019,1.1438,1.1457,1.1467,1.1421,-0.16%
05/02/2019,1.1415,1.1442,1.1456,1.1400,-0.20%
06/02/2019,1.1362,1.1406,1.1420,1.1359,-0.46%
07/02/2019,1.1341,1.1360,1.1375,1.1322,-0.18%
08/02/2019,1.1330,1.1346,1.1355,1.1320,-0.10%
11/02/2019,1.1276,1.1328,1.1331,1.1264,-0.48%
12/02/2019,1.1325,1.1280,1.1342,1.1256,0.43%
13/02/2019,1.1267,1.1326,1.1346,1.1260,-0.51%
14/02/2019,1.1301,1.1262,1.1313,1.1247,0.30%
15/02/2019,1.1295,1.1295,1.1313,1.1233,-0.05%
18/02/2019,1.1311,1.1288,1.1337,1.1284,0.14%
19/02/2019,1.1341,1.1310,1.1358,1.1274,0.27%
20/02/2019,1.1337,1.1342,1.1374,1.1324,-0.04%
21/02/2019,1.1336,1.1338,1.1368,1.1320,-0.01%
22/02/2019,1.1343,1.1337,1.1360,1.1315,0.06%
25/02/2019,1.1359,1.1338,1.1369,1.1323,0.14%
26/02/2019,1.1387,1.1366,1.1404,1.1343,0.25%
27/02/2019,1.1369,1.1396,1.1404,1.1360,-0.16%
28/02/2019,1.1371,1.1371,1.1421,1.1357,0.02%
01/03/2019,1.1377,1.1372,1.1410,1.1353,0.05%
04/03/2019,1.1340,1.1380,1.1398,1.1309,-0.33%
05/03/2019,1.1308,1.1339,1.1353,1.1290,-0.28%
06/03/2019,1.1307,1.1313,1.1328,1.1286,-0.01%
07/03/2019,1.1194,1.1306,1.1322,1.1176,-1.00%
08/03/2019,1.1240,1.1194,1.1248,1.1185,0.41%
11/03/2019,1.1247,1.1238,1.1259,1.1221,0.06%
12/03/2019,1.1286,1.1250,1.1308,1.1243,0.35%
13/03/2019,1.1325,1.1287,1.1341,1.1277,0.35%
14/03/2019,1.1302,1.1329,1.1342,1.1293,-0.20%
15/03/2019,1.1325,1.1305,1.1346,1.1296,0.20%
18/03/2019,1.1336,1.1323,1.1360,1.1317,0.10%
19/03/2019,1.1349,1.1337,1.1364,1.1332,0.11%
20/03/2019,1.1411,1.1351,1.1450,1.1335,0.55%
21/03/2019,1.1373,1.1414,1.1439,1.1342,-0.33%
22/03/2019,1.1313,1.1375,1.1394,1.1272,-0.53%
25/03/2019,1.1311,1.1294,1.1333,1.1284,-0.02%
26/03/2019,1.1264,1.1313,1.1329,1.1262,-0.42%
27/03/2019,1.1247,1.1269,1.1287,1.1242,-0.15%
28/03/2019,1.1220,1.1244,1.1264,1.1213,-0.24%
29/03/2019,1.1217,1.1221,1.1249,1.1208,-0.03%
01/04/2019,1.1212,1.1218,1.1250,1.1202,-0.04%
02/04/2019,1.1202,1.1216,1.1219,1.1183,-0.09%
03/04/2019,1.1234,1.1205,1.1256,1.1200,0.29%
04/04/2019,1.1220,1.1235,1.1250,1.1205,-0.12%
05/04/2019,1.1214,1.1223,1.1247,1.1209,-0.05%
08/04/2019,1.1259,1.1218,1.1277,1.1213,0.40%
09/04/2019,1.1261,1.1272,1.1286,1.1253,0.02%
10/04/2019,1.1273,1.1264,1.1288,1.1229,0.11%
11/04/2019,1.1250,1.1273,1.1291,1.1249,-0.20%
12/04/2019,1.1300,1.1254,1.1327,1.1252,0.44%
15/04/2019,1.1307,1.1300,1.1322,1.1294,0.06%
16/04/2019,1.1280,1.1303,1.1315,1.1279,-0.24%
17/04/2019,1.1294,1.1281,1.1326,1.1279,0.12%
18/04/2019,1.1229,1.1297,1.1307,1.1226,-0.58%
19/04/2019,1.1246,1.1241,1.1254,1.1228,0.15%
22/04/2019,1.1255,1.1244,1.1264,1.1236,0.08%
